Category,Number,Date,Time
clg bus,DL4CAF4943,2023-04-25,19:11:46
clg bus,DL4CAF4943,2023-04-25,19:11:47
clg bus,DL4CAF4943,2023-04-25,19:11:47
clg bus,DL4CAF4943,2023-04-25,19:11:48
clg bus,DL4CAF4943,2023-04-25,19:11:49
clg bus,DL4CAF4943,2023-04-25,19:11:55
clg bus,DL4CAF4943,2023-04-25,19:11:56
clg bus,DL4CAF4943,2023-04-25,19:11:56
